Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02043052


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2043052;1;01/09/1979;1;;;;;0;0;0;;0;0,0;0,0;0,0;;;;0,0;0,0;0,0;0,0;;;0,0;0,0;37,5;;;24,6;;0,0;;0,0;0,0;0,0;1,2;0,4;0,0;;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/09/1978;1;35,6;44,3;1;7;1;1;1;;0;35,6;1,3;3,2;0,0;0,0;2,7;1,1;0,0;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/04/1979;1;;;;;0;0;0;;0;0,0;0,0;0,0;4,8;7,4;10,3;10,4;0,0;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;;0,0;0,0;6,2;0,0;2,1;6,8;0,6;0,0;0,0;0,0;0,0;30,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/05/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,6;;0,0;;;;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/10/1981;1;;;;;0;0;0;;0;;0,0;1,6;0,0;0,0;17,5;4,3;1,8;0,0;0,0;1,8;6,9;3,2;0,0;0,0;;0,3;0,0;0,0;13,4;0,4;0,0;0,0;0,0;0,0;28,3;;17,8;12,0;5,0;17,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/01/1984;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;0,0;;18,2;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1990;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;2,4;0,0;4,0;15,8;0,0;0,0;0,0;0,0;0,0;25,2;28,3;18,3;0,0;19,7;0,0;0,0;9,0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/05/1982;1;19,4;21,6;26;4;1;1;1;;0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;1,5;19,4;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/05/1983;1;37,8;63,6;31;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,8;0,0;0,0;24,0;0,0;37,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/06/1984;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1982;1;;;;;0;0;0;;0;0,0;29,0;23,9;2,4;2,5;4,2;3,7;29,3;18,5;15,8;3,6;1,9;64,0;0,2;37,4;8,4;4,3;7,6;;3,5;4,3;;10,5;1,1;22,7;0,2;;5,6;0,5;0,0;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1983;1;88,4;220,2;20;15;1;1;1;;0;0,0;10,4;20,4;0,0;0,3;6,0;4,0;0,0;0,0;0,0;8,0;0,0;0,0;0,8;0,0;0,0;2,6;0,0;17,4;88,4;9,1;0,0;2,0;5,3;0,0;0,0;16,5;29,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/01/1980;1;;;;;0;0;0;;0;15,0;61,7;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,4;;26,1;;0,4;23,8;32,0;;0,0;;6,6;16,4;11,9;12,0;18,2;5,8;;36,0;1,6;27,1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/09/1992;1;38,0;131,2;17;13;1;1;1;;0;0,0;0,0;0,0;0,0;20,6;8,8;10,6;3,6;0,0;0,0;0,0;0,0;3,1;12,0;0,0;0,0;38,0;0,8;0,0;8,6;0,4;0,0;0,0;0,0;0,0;2,5;19,0;3,2;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/09/1993;1;38,0;100,0;24;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,6;0,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;33,0;0,0;38,0;0,0;2,4;0,0;0,6;0,0;13,4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
